question,answer,intent,context
Apa latar belakang penerbitan Peratutan OJK (POJK) tentang Bank Umum Syariah (PERATURAN OTORITAS JASA KEUANGAN NOMOR 16/POJK.03/2022 TENTANG BANK UMUM SYARIAH)?,"Sesuai dengan Roadmap Pengembangan Perbankan Syariah Indonesia (RP2SI), 
perlu adanya peningkatan daya saing BUS dalam menjalankan peran intermediasi 
untuk berkontribusi terhadap perekonomian nasional sehingga perlu dilakukan 
penguatan kelembagaan BUS antara lain penguatan permodalan dan skala usaha BUS, 
penguatan sinergi BUS untuk meningkatkan efisiensi operasional BUS, mendorong 
digitalisasi, serta meningkatkan peran BUS dalam ekosistem ekonomi dan keuangan 
syariah.
POJK ini juga diterbitkan dalam rangka harmonisasi dengan peraturan mengenai 
kelembagaan bank umum konvensional untuk memberikan level playing field yang 
sama dan menghindari arbitrase regulasi antara bank umum konvensional dan bank 
umum syariah, penyesuaian dengan peraturan mengenai pelaporan dan perizinan 
bank, dan peraturan mengenai penyelenggaraan teknologi informasi oleh bank umum. 
Secara umum, pengaturan pada POJK BUS ini bersifat principle-based sehingga dapat 
lebih agile dan forward looking, tanpa mengabaikan prinsip kehati-hatian.",Bank Regulation,Penerbitan Peratutan OJK (POJK) tentang Bank Umum Syariah
Apa perbedaan utama antara bank syariah dan bank konvensional? ,"Bank syariah menggunakan sistem bagi hasil sebagai sumber keuntungan, sedangkan bank konvensional menggunakan sistem bunga1.",Bank Regulation,Perbedaan Bank Syariah & Konvensional
Apa saja perubahan pengaturan yang mendasar dan substansial yang diatur dalam POJK NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH ini?,"Beberapa peraturan yang disesuaikan sebagaimana amanat UU P2SK 
serta sebagai penyelarasan dengan kebijakan terkini, antara lain 
perubahan nomenklatur dan definisi BPR atau BPR Syariah, pihak yang 
dapat mendirikan BPR atau BPR Syariah, bentuk badan hukum BPR 
atau BPR Syariah menjadi perseroan terbatas atau koperasi, persyaratan 
bagi BPR atau BPR Syariah yang dapat melakukan penawaran umum 
efek melalui pasar modal, penyempurnaan jenis jaringan kantor dan 
wilayah pembukaan kantor, serta penyempurnaan pengaturan 
penggabungan, peleburan, dan pengambilalihan yang mencakup antara 
lain persyaratan bagi lembaga keuangan mikro (LKM) yang dapat 
melakukan penggabungan dengan BPR atau BPR Syariah, dan 
konsolidasi BPR atau BPR Syariah.",Bank Regulation,POJK NOMOR 7 TAHUN 2024
Apakah BPR atau BPR Syariah dapat memperluas wilayah jaringan kantor?,"Jika dalam peraturan sebelumnya BPR atau BPR Syariah yang berlokasi 
dalam provinsi yang berbeda dan akan melakukan Penggabungan atau 
Peleburan harus memilih salah 1 (satu) provinsi yang akan menjadi 
wilayah jaringan kantornya sesuai dengan ketentuan, dalam POJK ini 
BPR atau BPR Syariah dapat mempertahankan jaringan kantor 
meskipun di wilayah provinsi yang berbeda sepanjang berlokasi paling 
luas dalam 1 (satu) wilayah pulau atau kepulauan utama, yaitu 
Sumatera, Jawa, Kalimantan, Bali dan Nusa Tenggara, Sulawesi, serta 
Maluku dan Papua.
Dengan demikian, BPR atau BPR Syariah hasil penggabungan atau 
peleburan dapat memiliki wilayah jaringan kantor yang lebih luas dari 1 
(satu) provinsi sepanjang melakukan penggabungan atau peleburan.",Bank Regulation,Memperluas wilayah jaringan kantor BPRS
"Apakah dengan POJK 7 TAHUN 2024, setiap BPR atau BPR Syariah menjadi harus melakukan penawaran umum? Apa saja persyaratannya?","UU P2SK memberikan landasan bagi BPR atau BPR Syariah untuk 
membuka kesempatan/peluang dalam rangka peningkatan akses 
permodalan atau pendanaan melalui pasar modal. Meski demikian, 
bukan berarti setiap BPR atau BPR Syariah menjadi harus melakukan 
penawaran umum. Oleh karena itu dalam POJK ini diatur persyaratan 
bagi BPR atau BPR Syariah yang dapat melakukan penawaran umum, 
antara lain harus memiliki modal inti minimum Rp80 miliar dan 
penilaian tata kelola dengan predikat paling rendah peringkat 2, 
penilaian profil risiko paling rendah peringkat 2, dan tingkat kesehatan 
paling rendah PK-2 keseluruhnya dinilai dalam 2 (dua) periode terakhir.",Bank Regulation,Penawaran umum BPRS
Apakah setiap BPR atau BPR Syariah yang telah beroperasi saat ini harus memenuhi modal disetor pendirian?,"Persyaratan modal disetor pendirian BPR atau BPR Syariah sesuai 
dengan zona yang ditetapkan berlaku bagi pendirian BPR atau BPR 
Syariah baru.",Bank Regulation,Modal disetor pendirian
Apakah terdapat Batasan dalam melakukan perubahan Rencana Korporasi?,"Rencana korporasi adalah dokumen tertulis yang menggambarkan rencana
strategis jangka panjang (lima tahun) secara menyeluruh yang berisi rumusan 
arah untuk mencapai tujuan BUS, yang disusun dengan memperhatikan faktor 
internal dan eksternal BUS termasuk kondisi kondisi pasar, persaingan, potensi 
konsumen, kondisi ekonomi dan politik, dan sebagainya. 
Untuk mengakomodir adanya kemungkinan perubahan kondisi internal dan 
eksternal tersebut, maka sewaktu-waktu dapat dilakukan perubahan atas 
Rencana Korporasi apabila terdapat perubahan-perubahan yang secara 
signifikan dapat mempengaruhi rencana strategis BUS. Tidak terdapat batasan 
atas jumlah perubahan Rencana Korporasi.",Bank Regulation,Perubahan Rencana Korporasi
Apakah terdapat penyesuaian ketentuan aspek prudensial BUS dengan adanya pengelompokan bank berdasarkan KBMI dari sebelumnya berdasarkan BUKU?,"Dengan adanya pengelompokan bank berdasarkan KBMI, kewajiban 
pembentukan capital conservation buffer yang sebelumnya berlaku untuk BUS 
yang termasuk dalam BUKU 3 dan BUKU 4 dengan adanya pengelompokan 
KBMI, akan menjadi berlaku untuk BUS yang termasuk dalam KBMI 2, KBMI 
3, dan KBMI 4.",Bank Regulation,Sebelumnya berdasarkan BUKU
Apakah terdapat perbedaan antara pengaturan sinergi perbankan pada POJK Bank Umum dengan yang ada dengan PERATURAN OTORITAS JASA KEUANGAN NOMOR 16/POJK.03/2022 TENTANG BANK UMUM SYARIAH,"Secara umum pengaturan sinergi yang ada di POJK BUS ini selaras dengan 
yang ada pada POJK Bank Umum, dimana ruang lingkup sinergi dibuka untuk 
dapat dilakukan bagi seluruh kegiatan perbankan sepanjang tidak 
bertentangan dengan ketentuan peraturan perundang-undangan, antara lain 
dalam hal jaringan kantor, terminal perbankan elektronik, pengarsipan dan 
sebagainya, pemanfaatan teknologi yaitu pusat data (data center), pusat 
pemulihan bencana (disaster recovery center), keamanan informasi, ketahanan 
siber, aplikasi dan sebagainya, layanan perbankan bagi nasabah termasuk 
pusat layanan nasabah (call center), dan dukungan terkait sumber daya 
manusia. Pihak-pihak yang melakukan sinergi juga diperluas termasuk bagi 
bank berdasarkan prinsip syariah dan dengan lembaga jasa keuangan nonbank sebagai perusahaan anak dalam group. 
Perizinan sinergi yang dari pengaturan-pengaturan sebelumnya harus 
dilakukan melalui persetujuan OJK, di POJK ini juga telah disederhanakan 
menjadi kewajiban lapor kepada OJK. Selain itu, pada POJK ini juga dilakukan 
pengecualian atas pengaturan pada POJK No.11/POJK.03/2022 tentang
Penyelenggaraan Teknologi Informasi oleh Bank Umum, yang mewajibkan 
adanya perizinan bagi bank yang akan memberikan layanan penyediaan jasa TI 
bagi pihak lain.
Namun demikian, pelaksanaan sinergi harus tetap memperhatikan prinsip 
kehati-hatian dan manajemen risiko yang baik serta tidak bertentangan dengan 
peraturan perundang-undangan yang berlaku. Pihak-pihak yang melakukan 
sinergi wajib menuangkan seluruh aspek kerjasama sinergi dalam perjanjian 
secara tertulis yang deskriptif dan paling sedikit mencakup beberapa hal yaitu 
pihak-pihak yang melakukan kerjasama, tujuan dan ruang lingkup kerjasama, 
jangka waktu perjanjian kerjasama, hak dan kewajiban pihak yang melakukan 
kerjasama, serta disetujui oleh unit kerja kepatuhan. Selanjutnya pihak-pihak 
yang melaksanakan Sinergi wajib memastikan pelaksanaan Sinergi sesuai 
dengan perjanjian kerja sama tersebut, dan pihak yang menerima manfaat 
bertanggung jawab atas risiko yang timbul atas keputusan bisnis, layanan, 
dan/atau operasional dari pelaksanaan Sinergi Perbankan.
Kemudian mengingat sinergi BUS akan dapat dilakukan dengan lembaga jasa 
keuangan yang tidak berdasarkan prinsip syariah, maka untuk memitigasi 
risiko Syariah yang mungkin timbul, pelaksanaan sinergi oleh BUS perlu 
disyaratkan harus telah mendapatkan opini DPS ",Bank Regulation,BANK UMUM SYARIAH
"BPR atau BPR Syariah telah melakukan perubahan nomenklatur menjadi “Bank Perekonomian Rakyat” atau “Bank Perekonomian Rakyat Syariah” sesuai dengan UU P2SK, namun belum mengajukan permohonan atau laporan kepada OJK. Apa yang harus dilakukan BPR atau BPR Syariah tersebut?","Sesuai dengan UU P2SK, BPR atau BPR Syariah wajib melakukan perubahan nomenklatur paling lama 2 (dua) tahun sejak UU P2SK diundangkan. POJK ini mengatur mengenai sanksi administratif apabila BPR atau BPR Syariah dimaksud belum melakukan perubahan nomenklatur sampai dengan jangka waktu dimaksud. Bagi BPR atau BPR Syariah yang telah melakukan perubahan nomenklatur sebelum berlakunya POJK ini dan belum mendapatkan persetujuan penetapan penggunaan izin usaha BPR atau BPR Syariah dengan nama baru dari OJK, wajib menyampaikan permohonan persetujuan penggunaan izin usaha BPR atau BPR Syariah dengan nama baru kepada OJK paling lama 3 (tiga) bulan sejak berlakunya POJK ini",Bank Regulation,perubahan nomenklatur menjadi “Bank Perekonomian Rakyat” atau “Bank Perekonomian Rakyat Syariah”
"Dalam hal Pemegang Saham Pengendali (PSP) memiliki BPR dan BPR Syariah dalam 1 (satu) wilayah pulau atau kepulauan utama, apakah diwajibkan untuk melakukan penggabungan atau peleburan?","Kewajiban Penggabungan atau Peleburan bagi BPR atau BPR Syariah dalam kepemilikan dan/atau pengendalian PSP yang sama berlaku bagi BPR dan BPR Syariah dalam kegiatan usaha yang sama. Contoh: Tuan A memiliki 2 (dua) BPR dan 1 (satu) BPR Syariah yang berlokasi di Pulau Jawa. Kewajiban konsolidasi berlaku bagi 2 (dua) BPR konvensional tersebut. Meski demikian, PSP dimaksud diperkenankan untuk melakukan Penggabungan atau Peleburan seluruh BPR dan BPR Syariah yang dimiliki berdasarkan inisiatif sendiri dengan hasil menjadi BPR Syariah.",Bank Regulation,Penggabungan atau peleburan
Kapankah POJK BUS ini mulai berlaku?,"Mengingat perlunya dilakukan penyesuaian-penyesuaian operasional oleh BUS 
untuk dapat mematuhi POJK BUS ini, antara lain mengenai pelaporan dan 
perubahan jenis jaringan kantor, terdapat masa tenggat selama 3 bulan dari 
tanggal pengundangan sebelum POJK BUS ini mulai berlaku secara efektif",Bank Regulation,POJK BUS
"Kenapa terdapat cakupan mengenai rencana dan strategi sinergi BUS, dan
rencana sinergi dengan lembaga keuangan sosial Islam dalam Rencana Korporasi BUS?","1) Cakupan rencana dan strategi sinergi BUS dalam Rencana Korporasi BUS 
diperlukan dalam rangka mendorong peningkatan optimalisasi infrastruktur 
perbankan serta meningkatkan efisiensi operasional lembaga jasa keuangan 
yang tergabung dalam satu kelompok usaha. Dengan adanya sinergi BUS 
dalam bentuk resource sharing, lembaga jasa keuangan yang berada dalam 
satu kelompok usaha akan mendapatkan nilai tambah secara konsolidasi.
2) Sesuai dengan Pasal 4 UU Perbankan Syariah, telah diakomodasi keunikan 
bank syariah untuk dapat menjalankan fungsi sosial yang telah 
diterjemahkan juga ke dalam RP2SI 2020-2025 yaitu sinergi ekosistem dan 
ekonomi Syariah, salah satunya dengan lembaga keuangan sosial Islam yang 
juga bertujuan untuk meningkatkan awareness masyarakat dalam 
kerangka ekosistem ekonomi syariah. Untuk mendukung keunikan 
perbankan syariah tersebut maka diperlukan cakupan mengenai rencana
sinergi dengan lembaga keuangan sosial Islam dalam Rencana Korporasi 
BUS.",Bank Regulation,Rencana Korporasi BUS
Kenapa terdapat kewajiban bagi BUS untuk menyampaikan Rencana Korporasi?,"Untuk memperkuat kelembagaan BUS terutama dalam menghadapi kondisi 
yang dinamis pada saat ini, BUS perlu menyusun rencana strategis korporasi 
dengan baik melalui analisa posisi organisasi (kekuatan, kelemahan, kondisi 
pasar, persaingan, potensi konsumen, kondisi ekonomi dan politik, dan 
sebagainya) untuk kemudian menyusun rencana dan skenario yang efektif dan 
efisien untuk mencapai tujuan stakeholder. Melalui perencanaan yang baik 
serta dievaluasi secara periodik, diharapkan perkembangan dan pertumbuhan
BUS dapat lebih terarah.",Bank Regulation,Menyampaikan Rencana Korporasi
Mengapa terdapat perubahan wilayah pembukaan jaringan kantor BPR atau BPR Syariah?,"Pasal 19A UU Perbankan dan Pasal 6A UU Perbankan Syariah 
sebagaimana keduanya telah diubah dalam UU P2SK menegaskan 
bahwa BPR atau BPR Syariah memiliki jaringan kantor dalam wilayah 
yang terbatas. Batasan wilayah tersebut diatur dalam POJK ini yaitu 
dalam 1 (satu) wilayah provinsi yang sama dengan provinsi kantor pusat.
Dalam hal terdapat BPR atau BPR Syariah yang telah memiliki jaringan 
kantor pada kabupaten atau kota di provinsi lain yang berbatasan 
langsung dengan provinsi lokasi Kantor Pusat sebagaimana diatur dalam 
POJK sebelumnya, dapat tetap mempertahankan kantor yang telah ada.",Bank Regulation,Perubahan wilayah pembukaan jaringan kantor
"PERATURAN OTORITAS JASA KEUANGAN REPUBLIK INDONESIA NOMOR 7 TAHUN 2024 TENTANG BANK PEREKONOMIAN RAKYAT DAN BANK PEREKONOMIAN RAKYAT SYARIAH , Apa latar belakang penerbitan POJK ini?","Penerbitan POJK ini merupakan tindak lanjut dari penerbitan UndangUndang Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan 
Sektor Keuangan (UU P2SK) yang mengamanatkan sejumlah penguatan 
aspek kelembagaan industri BPR dan BPR Syariah.",Bank Regulation,POJK no 7 tahun 2024
"Terkait dengan kebijakan konsolidasi BPR dan BPR Syariah, apa yang harus dipersiapkan oleh BPR dan BPR Syariah grup setelah POJK ini berlaku?","BPR atau BPR Syariah dalam kepemilikan dan/atau pengendalian PSP yang sama (grup) dalam 1 (satu) wilayah pulau atau kepulauan utama wajib melakukan konsolidasi melalui skema Penggabungan atau Peleburan. Bagi BPR atau BPR Syariah grup tersebut diwajibkan untuk menyampaikan rencana tindak untuk melaksanakan Penggabungan atau Peleburan paling lama 4 (empat) bulan setelah POJK berlaku. Rencana tindak berisikan paling sedikit: a. rencana waktu dan tahapan persiapan, serta penyelesaian Penggabungan atau Peleburan, termasuk penjelasan mengenai langkah atau tindakan dalam rangka persiapan dan penyelesaian Penggabungan atau Peleburan setiap BPR dan BPR Syariah; dan b. proyeksi indikator dan rasio keuangan utama setiap BPR atau BPR Syariah secara periodik yang disusun sampai dengan perkiraan waktu penyelesaian Penggabungan atau Peleburan BPR atau BPR Syariah. Penggabungan atau Peleburan BPR atau BPR Syariah grup tersebut wajib diselesaikan: a. paling lama 2 (dua) tahun; atau b. paling lama 3 (tiga) tahun bagi BPR atau BPR Syariah milik pemerintah daerah, - 4 - sejak POJK ini mulai berlaku.",Bank Regulation,Persiapan BPRS setelah POJK 7 / 2024
